epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
58,1152.56,0.79403,0.56143,0.01145,0.79512,0.72375,0.78299,0.59198,0.98655,0.91546,0.01877,0.000290612,0.000290612,0.000290612
59,1172.39,0.74833,0.52954,0.01065,0.7762,0.69331,0.77126,0.58055,0.98335,1.03097,0.01902,0.000284009,0.000284009,0.000284009
60,1192.21,0.75576,0.5193,0.01112,0.78428,0.77983,0.77342,0.58107,0.98982,0.89494,0.01872,0.000277405,0.000277405,0.000277405
61,1212.35,0.76242,0.51196,0.01111,0.85063,0.71475,0.78302,0.59722,0.92589,0.94905,0.01767,0.000270802,0.000270802,0.000270802
62,1232.09,0.75187,0.52129,0.01061,0.77412,0.75907,0.78212,0.59667,0.99566,0.89713,0.01883,0.000264199,0.000264199,0.000264199
63,1251.84,0.749,0.53828,0.01055,0.72635,0.78665,0.77873,0.58398,1.01115,0.87376,0.01913,0.000257595,0.000257595,0.000257595
64,1271.46,0.75126,0.51171,0.01043,0.82766,0.72431,0.77132,0.5925,0.95877,0.96865,0.01782,0.000250992,0.000250992,0.000250992
65,1290.85,0.72525,0.47008,0.01016,0.7987,0.74733,0.7802,0.59549,0.9469,0.85252,0.01752,0.000244389,0.000244389,0.000244389
66,1310.22,0.7204,0.47748,0.01004,0.72579,0.80483,0.77491,0.58475,0.96948,0.9009,0.01809,0.000237785,0.000237785,0.000237785
67,1329.58,0.70282,0.45175,0.01002,0.79454,0.74128,0.76895,0.58026,0.98472,0.97587,0.01839,0.000231182,0.000231182,0.000231182
68,1349.16,0.72132,0.44502,0.01073,0.7668,0.73145,0.77784,0.5938,0.94907,0.95416,0.01759,0.000224579,0.000224579,0.000224579
69,1368.72,0.70792,0.46625,0.01032,0.82084,0.71553,0.78349,0.59657,0.94589,0.94301,0.01768,0.000217976,0.000217976,0.000217976
70,1388.25,0.71274,0.48541,0.01017,0.75578,0.75525,0.78858,0.60528,0.97576,0.86856,0.01839,0.000211372,0.000211372,0.000211372
71,1408.3,0.69796,0.46821,0.00994,0.78843,0.75839,0.77656,0.60653,0.94633,0.99229,0.01793,0.000204769,0.000204769,0.000204769
